,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,rating_numerator,rating_denominator,name,retweet_count,favorite_count,url,stage
0,892420643555336193,,,2017-08-01 16:23:56 +0000,Iphone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,8364,38188,https://t.co/MgUWQ76dJU,
1,892177421306343426,,,2017-08-01 00:17:27 +0000,Iphone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,6176,32751,https://t.co/0Xxu71qeIV,
2,891815181378084864,,,2017-07-31 00:18:03 +0000,Iphone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,4089,24662,https://t.co/wUnZnhtVJB,
3,891689557279858688,,,2017-07-30 15:58:51 +0000,Iphone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,8503,41513,https://t.co/tD36da7qLQ,
4,891327558926688256,,,2017-07-29 16:00:24 +0000,Iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,9204,39702,https://t.co/AtUZn91f7f,
5,891087950875897856,,,2017-07-29 00:08:17 +0000,Iphone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,None,3063,19932,https://t.co/kQ04fDDRmh,
6,890971913173991426,,,2017-07-28 16:27:12 +0000,Iphone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,2028,11661,https://t.co/tVJBRMnhxl,
7,890729181411237888,,,2017-07-28 00:22:40 +0000,Iphone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,None,18560,64445,https://t.co/v0nONBcwxq,
8,890609185150312448,,,2017-07-27 16:25:51 +0000,Iphone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,4204,27391,https://t.co/9TwLuAGH0b,
9,890240255349198849,,,2017-07-26 15:59:51 +0000,Iphone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,7264,31439,https://t.co/t1bfwz5S2A,doggo 
10,890006608113172480,,,2017-07-26 00:31:25 +0000,Iphone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,7214,30221,https://t.co/dVPW0B0Mme,
11,889880896479866881,,,2017-07-25 16:11:53 +0000,Iphone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,4894,27388,https://t.co/u1XPQMl29g,
12,889665388333682689,,,2017-07-25 01:55:32 +0000,Iphone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13,10,None,9888,47410,https://t.co/BxvuXk0UCm,puppo
13,889638837579907072,,,2017-07-25 00:10:02 +0000,Iphone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,4473,26760,https://t.co/f8dEDcrKSR,
14,889531135344209921,,,2017-07-24 17:02:04 +0000,Iphone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,2207,14888,https://t.co/y70o6h3isq,puppo
15,889278841981685760,,,2017-07-24 00:19:32 +0000,Iphone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,Oliver,5287,24877,https://t.co/WpHvrQedPb,
16,888917238123831296,,,2017-07-23 00:22:39 +0000,Iphone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,Jim,4420,28672,https://t.co/chxruIOUJN,
17,888804989199671297,,,2017-07-22 16:56:37 +0000,Iphone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,Zeke,4222,25187,https://t.co/HTQ77yNQ5K,
18,888554962724278272,,,2017-07-22 00:23:06 +0000,Iphone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13,10,Ralphus,3492,19539,https://t.co/YnYAFCTTiK,
20,888078434458587136,,,2017-07-20 16:49:33 +0000,Iphone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12,10,Gerald,3441,21437,https://t.co/DK7iDPfuRX,
21,887705289381826560,,,2017-07-19 16:06:48 +0000,Iphone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13,10,Jeffrey,5302,29732,https://t.co/PhrUk20Q64,
22,887517139158093824,,,2017-07-19 03:39:09 +0000,Iphone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,14,10,such,11482,45587,https://t.co/20VrLAA8ba,
23,887473957103951883,,,2017-07-19 00:47:34 +0000,Iphone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,13,10,Canela,17882,68068,https://t.co/cLyzpcUcMX,
24,887343217045368832,,,2017-07-18 16:08:03 +0000,Iphone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,13,10,None,10242,33189,https://t.co/WZqNqygEyV,
25,887101392804085760,,,2017-07-18 00:07:08 +0000,Iphone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,12,10,None,5869,30117,https://t.co/4Ad1jzJSdp,
26,886983233522544640,,,2017-07-17 16:17:36 +0000,Iphone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,13,10,Maya,7646,34641,https://t.co/I6oNy0CgiT,
27,886736880519319552,,,2017-07-16 23:58:41 +0000,Iphone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",13,10,Mingus,3230,11878,https://t.co/ISvKOSkd5b,
28,886680336477933568,,,2017-07-16 20:14:00 +0000,Iphone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,13,10,Derek,4395,22100,https://t.co/BCoWue0abA,
29,886366144734445568,,,2017-07-15 23:25:31 +0000,Iphone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,12,10,Roscoe,3148,20874,https://t.co/RGE08MIJox,pupper
30,886267009285017600,8.862663570751283e+17,2281181600.0,2017-07-15 16:51:35 +0000,Iphone,@NonWhiteHat @MayhewMayhem omg hello tanner you are a scary good boy 12/10 would pet with extreme caution,12,10,None,4,116,caution,
31,886258384151887873,,,2017-07-15 16:17:19 +0000,Iphone,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,13,10,Waffles,6185,27577,https://t.co/xZDA9Qsq1O,
33,885984800019947520,,,2017-07-14 22:10:11 +0000,Iphone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,12,10,Jimbo,6689,32188,https://t.co/BuveP0uMF1,
